platform,video_title,video_url,author,content,comment_id,likes,time_parsed,video_transcript,scraped_at
YouTube,Don't Buy From Nykaa Fashion Before Watching This! ⚠️,https://www.youtube.com/watch?v=LK1xNddb6JA,@MasumaBegum-sq9tn,Underrated creator 🫠,UgyOk2qb4QnAhiPUPYJ4AaABAg,1,1786376150.217957,Transcript not available,2026-08-20T21:05:50.218892
YouTube,Don't Buy From Nykaa Fashion Before Watching This! ⚠️,https://www.youtube.com/watch?v=LK1xNddb6JA,@victorningthoujam7365,Mee too. It's been 6 days and the product is not even shipped yet. Customer care number is not working. Shitty service.,UgyZeSN5-4MmN8FG2xJ4AaABAg,2,1781969750.221374,Transcript not available,2026-08-20T21:05:50.221521
YouTube,Don't Buy From Nykaa Fashion Before Watching This! ⚠️,https://www.youtube.com/watch?v=LK1xNddb6JA,@rajattiwari8241,"Underrated creator alert! 🚨 Keep creating, you're going to grow fast.",Ugyl8Ak1qwSZfoCPaUB4AaABAg,2,1781969750.223288,Transcript not available,2026-08-20T21:05:50.223398
YouTube,Don't Buy From Nykaa Fashion Before Watching This! ⚠️,https://www.youtube.com/watch?v=LK1xNddb6JA,@NamrataUnfilteredDiaries,"That is so sweet of you to say, thank you! ✨💗",UgyOk2qb4QnAhiPUPYJ4AaABAg.A_JeQd928laA_Npd-bUrS1,0,1786548950.581834,Transcript not available,2026-08-20T21:05:50.581950
YouTube,Don't Buy From Nykaa Fashion Before Watching This! ⚠️,https://www.youtube.com/watch?v=LK1xNddb6JA,@donutpiechicken,Mera product toh gurgaon haryana mein hai 6 din se bhai ab pta chala haryana se mumbai aane mein 6 din bhi lagte hein bechara cycle pe aa raha hoga,UgyZeSN5-4MmN8FG2xJ4AaABAg.AY2eMdQ1XGkAYkO9rfQMSz,0,1784561750.896118,Transcript not available,2026-08-20T21:05:50.896437
YouTube,Don't Buy From Nykaa Fashion Before Watching This! ⚠️,https://www.youtube.com/watch?v=LK1xNddb6JA,@yashwantkumarverma1914,क्योंकि उन्हें used product देना रहता है।,UgyZeSN5-4MmN8FG2xJ4AaABAg.AY2eMdQ1XGkA_KyMUwgbKp,0,1786462550.899751,Transcript not available,2026-08-20T21:05:50.900049
YouTube,Don't Buy From Nykaa Fashion Before Watching This! ⚠️,https://www.youtube.com/watch?v=LK1xNddb6JA,@yashwantkumarverma1914,"मुझे used product दिया है,  और return and refund नहीं करते Nykaa वाले।",UgyZeSN5-4MmN8FG2xJ4AaABAg.AY2eMdQ1XGkA_KyNl2RcgZ,0,1786462550.903297,Transcript not available,2026-08-20T21:05:50.903563
YouTube,Don't Buy From Nykaa Fashion Before Watching This! ⚠️,https://www.youtube.com/watch?v=LK1xNddb6JA,@yashwantkumarverma1914,"मुझे used product दिया है,  और return and refund नहीं करते Nykaa वाले।",UgyZeSN5-4MmN8FG2xJ4AaABAg.AY2eMdQ1XGkA_KyOxR2QpG,0,1786462550.906734,Transcript not available,2026-08-20T21:05:50.907024
YouTube,Don't Buy From Nykaa Fashion Before Watching This! ⚠️,https://www.youtube.com/watch?v=LK1xNddb6JA,@yashwantkumarverma1914,"मुझे used product दिया है,  और return and refund नहीं करते Nykaa वाले।",UgyZeSN5-4MmN8FG2xJ4AaABAg.AY2eMdQ1XGkA_KyQDYYmoo,0,1786462550.910221,Transcript not available,2026-08-20T21:05:50.910484
YouTube,Don't Buy From Nykaa Fashion Before Watching This! ⚠️,https://www.youtube.com/watch?v=LK1xNddb6JA,@NamrataUnfilteredDiaries,"Thank you so much for the sweet encouragement, it means the world to me! ✨💗",Ugyl8Ak1qwSZfoCPaUB4AaABAg.AY1xkJXGruGAY1yv8s3JXF,0,1781969751.200142,Transcript not available,2026-08-20T21:05:51.200446
