platform,id,comment_id,author,video_title,video_url,content,likes,time_parsed,created_at,video_transcript,scraped_at
YouTube,Ugywc8jRyOVS0dDZMSt4AaABAg.AKWrBfnAod3AKWs3Qf822p,Ugywc8jRyOVS0dDZMSt4AaABAg.AKWrBfnAod3AKWs3Qf822p,@SwatiRathi,"Shopped My Entire Wishlist from Amazon, Nykaa, Myntra & H&M,Tira..😍Huge Haul |Swati Rathi #trending",https://www.youtube.com/watch?v=zXc3wn0rrpI,https://www.wishlink.com/share/njyacc,0,1756628893.478595,2025-08-31T13:58:13.478595,Transcript not available,2026-08-31T13:58:13.478995
YouTube,UgwQ4e6tqunU_Nvglkl4AaABAg,UgwQ4e6tqunU_Nvglkl4AaABAg,@navyaSagar-500,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,Bro see I will recommend u to purchase tuco kids item they r too safe for skin,0,1780216473.812731,2026-05-31T14:04:33.812731,Transcript not available,2026-08-31T14:04:37.972270
YouTube,UgxzjRe-zwSzqmWBfVF4AaABAg,UgxzjRe-zwSzqmWBfVF4AaABAg,@MdImdadali-w9n,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,😊Kmnygggf ❤🤵🏻👰🏻🧖🏻😊,0,1772267673.815889,2026-02-28T14:04:33.815889,Transcript not available,2026-08-31T14:04:37.972297
YouTube,UgxmTjzRIRQtTTb6qw54AaABAg,UgxmTjzRIRQtTTb6qw54AaABAg,@MuhammadHasnain-ee9lu,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,I am from Pakistan ❤😊,0,1769848473.818964,2026-01-31T14:04:33.818964,Transcript not available,2026-08-31T14:04:37.972316
YouTube,UgzbaksIQDhjNOGX7Ah4AaABAg,UgzbaksIQDhjNOGX7Ah4AaABAg,@AditiSharma-vx8sn,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,Hello sonia dii i have been watching your videos since 2years constantly and you and your boyfrnd are so sweet and I love you dii❤,0,1764491673.825028,2025-11-30T14:04:33.825028,Transcript not available,2026-08-31T14:04:37.972374
YouTube,UgyNCH3bZ8QGlQB-U5x4AaABAg,UgyNCH3bZ8QGlQB-U5x4AaABAg,@RohitSoni-v3t,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,Didi aap plz har weak one video dala kro Aapke video bohot mast h video jaldi jaldi dala kro,0,1764491673.828107,2025-11-30T14:04:33.828107,Transcript not available,2026-08-31T14:04:37.972412
YouTube,UgxhNdOuI-HbKixYTCl4AaABAg,UgxhNdOuI-HbKixYTCl4AaABAg,@CynthiaMinhas,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,For the glue part outside your dress ... you can remove it with help of wet towel or some wetwipe.. it works i have been using this product from different brand... its great product,0,1764491673.832168,2025-11-30T14:04:33.832168,Transcript not available,2026-08-31T14:04:37.972474
YouTube,UgxkCL9Tqgjccfz4VPh4AaABAg,UgxkCL9Tqgjccfz4VPh4AaABAg,@Vanika.makeover7963,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,U lie 😒😒,0,1764491673.836725,2025-11-30T14:04:33.836725,Transcript not available,2026-08-31T14:04:37.972486
YouTube,UgyFP98GxlAolN5hbTB4AaABAg,UgyFP98GxlAolN5hbTB4AaABAg,@sadboyf.c.a5372,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,Tissue ka link please 🙏,0,1761899673.841269,2025-10-31T14:04:33.841269,Transcript not available,2026-08-31T14:04:37.972502
YouTube,UgxbF8H5Cab4i-cei3p4AaABAg,UgxbF8H5Cab4i-cei3p4AaABAg,@manishsoni8708,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,hi soniya kya aapke Erikka IPL Hair Removal se sahi me ab hair nhi aate please honstly reply krna,1,1761899673.849447,2025-10-31T14:04:33.849447,Transcript not available,2026-08-31T14:04:37.972541
